Ar;Manad;SE1-Fast pris 1 ar;SE1-Fast pris 3 ar;SE1-Rorligt pris;SE2-Fast pris 1 ar;SE2-Fast pris 3 ar;SE2-Rorligt pris;SE3-Fast pris 1 ar;SE3-Fast pris 3 ar;SE3-Rorligt pris;SE4-Fast pris 1 ar;SE4-Fast pris 3 ar;SE4-Rorligt pris
2022;september;404.91;308;150;408.05;310.06;150.93;546.8;381.93;311.53;788.12;574.67;325.24
2022;oktober;363.17;303.97;82.33;364.77;306.55;83.77;496.02;370.62;122.93;654.44;525.76;124.24
2022;november;292.05;270.58;183.88;293.51;270.57;187.98;410.88;345.6;202.71;571.86;501.08;208.86
2022;december;339.49;307.56;284.43;342.1;309.07;286.79;445.23;360.93;375.08;560.82;498.77;380.17
2023;januari;292.43;285.54;111.83;293.36;285.6;112.78;347.47;316.09;140.18;440.71;435.94;157.3
2023;februari;235.85;238.73;87.15;235.26;238.28;87.4;257.5;253.86;124.61;342.33;342.83;151.72
2023;mars;209.07;214.28;92.49;206.9;214.04;93.1;235.3;232.28;130.4;299.53;327.18;148.65
2023;april;180.25;187.75;103.33;180.08;188.87;103.3;202.14;209.03;105.99;240.57;253.56;113.98
2023;maj;176.58;189.9;57.65;174.27;189.46;58.63;201.79;207.01;70.12;225.87;254.07;111.23
2023;juni;146.73;143.34;80.34;146.71;143.1;81;171.28;164.85;83.88;205.46;206.29;148.04
2023;juli;141.12;142.46;60.45;140.68;141.8;60.65;165.04;167.23;62.24;199.9;205.75;67.4
